team,announcement_status,announced_26_available,fifa_final_26_available,announced_date,source_type,source_title,source_url,notes
Netherlands,association_26_announced,true,false,2026-05-27,federation,KNVB final roster,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Netherlands,Association announced final roster; FIFA final publication still pending.
Japan,association_26_announced,true,false,2026-05-15,federation,JFA World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Japan,Association announced World Cup squad; FIFA final publication still pending.
Sweden,association_26_announced,true,false,2026-05-12,federation,Sweden World Cup squad announced,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Sweden,Association announced World Cup squad; FIFA final publication still pending.
Tunisia,association_26_announced,true,false,2026-05-15,federation_social,Tunisia World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Tunisia,Association announced squad; FIFA final publication still pending.
Belgium,association_26_announced,true,false,2026-05-15,federation,RBFA 26 Red Devils squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Belgium,Association announced 26 players; FIFA final publication still pending.
Egypt,preliminary,false,false,2026-05-20,federation,FIFA-listed 27-player preliminary squad,https://www.fifa.com/en/articles/egypt-squad-named,FIFA article describes a 27-player preliminary squad; do not mark 26 until official 26 source is verified.
IR Iran,preliminary,false,false,2026-05-17,federation,30-player invited list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Iran,Not reduced to 26 yet.
New Zealand,association_26_announced,true,false,2026-05-14,federation,New Zealand World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#New_Zealand,Association announced World Cup squad; FIFA final publication still pending.
Spain,association_26_announced,true,false,2026-05-25,federation,RFEF 26-player World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Spain,Association announced 26 players; FIFA final publication still pending.
Cabo Verde,association_26_announced,true,false,2026-05-18,federation,Cape Verde World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Cape_Verde,Association announced World Cup squad; FIFA final publication still pending.
Saudi Arabia,training_camp,false,false,2026-05-23,federation,World Cup training camp squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Saudi_Arabia,No final 26 announcement captured.
Uruguay,pending,false,false,2026-06-01,federation_tracking,Announcement scheduled,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Uruguay,Final squad expected 2026-06-01.
France,association_26_announced,true,false,2026-05-14,federation,FFF 26-player World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#France,Association announced 26 players; FIFA final publication still pending.
Senegal,association_26_announced,true,false,2026-05-21,federation,Senegal World Cup squad list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Senegal,Association announced World Cup squad; FIFA final publication still pending.
Iraq,preliminary,false,false,2026-05-20,fifa,Preliminary Iraq squad article,https://www.fifa.com/en/articles/hassan-returns-as-arnold-names-preliminary-iraq-squad,Preliminary squad only.
Norway,association_26_announced,true,false,2026-05-21,federation,Norway World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Norway,Association announced World Cup squad; FIFA final publication still pending.
Argentina,association_26_announced,true,false,2026-05-28,federation_social,AFA 26-player defending champions squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Argentina,Association announced 26 players; FIFA final publication still pending.
Algeria,preliminary,false,false,2026-05-11,public_report,Expanded preliminary list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Algeria,Not reduced to 26 yet.
Austria,association_26_announced,true,false,2026-05-18,federation,Austrian World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Austria,Association announced World Cup squad; FIFA final publication still pending.
Jordan,preliminary,false,false,2026-05-17,federation,Preliminary friendly squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Jordan,Not reduced to 26 yet.
Portugal,association_26_announced,true,false,2026-05-19,federation,FPF World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Portugal,Association announced World Cup squad; FIFA final publication still pending.
Congo DR,association_26_announced,true,false,2026-05-18,federation_social,Official DR Congo World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#DR_Congo,Association announced squad; FIFA final publication still pending.
Uzbekistan,preliminary,false,false,2026-05-24,federation_social,30-player World Cup list,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Uzbekistan,Not reduced to 26 yet.
Colombia,association_26_announced,true,false,2026-05-25,federation,Colombia World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Colombia,Association announced World Cup squad; FIFA final publication still pending.
England,association_26_announced,true,false,2026-05-22,federation,FA 26-player World Cup squad,https://www.englandfootball.com/articles/2026/May/22/england-mens-world-cup-2026-squad-named-by-thomas-tuchel-20262205,FA announced 26 players; FIFA final publication still pending.
Croatia,association_26_announced,true,false,2026-05-18,federation,Croatia World Cup squad,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Croatia,Association announced World Cup squad; FIFA final publication still pending.
Ghana,preliminary,false,false,2026-05-23,federation_tracking,Preliminary squad tracking,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads#Ghana,No verified final 26 announcement captured.
Panama,association_26_announced,true,false,2026-05-27,public_report,Panama final roster announced,https://www.fourfourtwo.com/team/panama-world-cup-2026-squad,Public roster page reports final squad; FIFA final publication still pending.
