team,slot,player,position,age,club,league,market_value_m,caps,goals,injury_status,expected_role,list_status,source_url,snapshot_date
Korea Republic,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Korea Republic,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Czechia,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Canada,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Bosnia and Herzegovina,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Qatar,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Switzerland,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Brazil,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Morocco,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Haiti,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Scotland,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
USA,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Paraguay,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,13,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,14,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,15,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,16,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,17,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,18,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,19,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,20,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,21,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,22,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,23,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,24,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,25,,,,,,,,,unknown,squad,provisional,,2026-05-30
Australia,26,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,1,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,2,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,3,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,4,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,5,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,6,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,7,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,8,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,9,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,10,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,11,,,,,,,,,unknown,squad,provisional,,2026-05-30
Türkiye,12,,,,,,,,,unknown,squad,provisional,,2026-05-30
