team,season_id,snapshot_date,players,real_player_stats,proxy_player_stats,starter_count,rotation_count,reserve_count,avg_role_score,top11_role_score,top15_role_score,minutes_coverage,goals_assists,goals_assists_score,club_season_score,source_note
Congo DR,2025,2026-06-12,26,25,1,2,18,6,47.8,64.2,60.1,95.5,73,84.4,68,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Cote d'Ivoire,2025,2026-06-12,26,26,0,6,18,2,59.1,71.2,67.9,100,140,100,76,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Croatia,2025,2026-06-12,26,26,0,13,9,4,61.8,75.3,73.2,100,182,100,79,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Curacao,2025,2026-06-12,26,26,0,3,17,6,49.4,65.1,61.4,100,97,100,70,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Czechia,2025,2026-06-12,26,26,0,11,13,2,64,76.5,73.9,100,190,100,80,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Ecuador,2025,2026-06-12,26,26,0,6,17,3,55.4,72.1,66.9,100,124,100,75,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Egypt,2025,2026-06-12,26,22,4,5,14,7,47.2,63.4,59.7,96.7,134,100,68,"22/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
England,2025,2026-06-12,26,26,0,19,6,1,72.2,84.3,82.1,100,281,100,86,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
France,2025,2026-06-12,26,26,0,22,4,0,74.6,81.2,79.1,100,262,100,84,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Germany,2025,2026-06-12,26,26,0,18,7,1,71.1,80.5,79,100,208,100,84,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Ghana,2025,2026-06-12,26,25,1,5,17,4,54.1,70.8,67.6,100,136,100,75,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Haiti,2025,2026-06-12,26,26,0,0,13,13,37.7,48.5,45.5,56.2,57,63.6,51,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
IR Iran,2025,2026-06-12,26,21,5,3,21,2,51.6,61.9,58.9,64.1,112,100,64,"21/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Iraq,2025,2026-06-12,26,25,1,1,16,9,45,58,55.1,91.8,59,66.2,62,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Japan,2025,2026-06-12,26,26,0,9,13,4,57.2,74.5,70.6,100,170,100,78,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Jordan,2025,2026-06-12,26,16,10,8,14,4,59.8,75.3,71.9,15,35,35.1,63,"16/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Korea Republic,2025,2026-06-12,26,24,2,8,11,7,53.8,70.8,67.3,100,125,100,74,"24/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Mexico,2025,2026-06-12,26,26,0,9,12,5,57.3,74.1,70.3,100,146,100,77,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Morocco,2025,2026-06-12,26,25,1,8,15,3,57.7,72.7,68.5,100,168,100,76,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Netherlands,2025,2026-06-12,26,26,0,12,12,2,66.5,80.2,76.6,100,157,100,82,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
New Zealand,2025,2026-06-12,26,26,0,3,17,6,49,62.5,58.4,88.2,102,100,68,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Norway,2025,2026-06-12,26,24,2,7,15,4,56.9,72.1,69.1,100,168,100,76,"24/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Panama,2025,2026-06-12,26,26,0,6,14,6,53,70.5,65.5,100,99,100,74,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Paraguay,2025,2026-06-12,26,25,1,4,14,8,47.9,63.6,58.1,78.7,116,100,67,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Portugal,2025,2026-06-12,26,26,0,19,7,0,71.5,80.1,78.5,100,255,100,83,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Qatar,2025,2026-06-12,26,21,5,1,13,12,43.7,58.7,53.7,45.2,73,84.4,58,"21/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Saudi Arabia,2025,2026-06-12,26,24,2,7,13,6,53.7,68.5,65.5,100,133,100,73,"24/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Scotland,2025,2026-06-12,26,26,0,6,15,5,52.8,71.7,68.2,100,133,100,75,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Senegal,2025,2026-06-12,26,26,0,10,15,1,60.5,74.3,71.2,100,105,100,78,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
South Africa,2025,2026-06-12,26,25,1,6,16,4,55.3,69.1,65.5,100,112,100,74,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Spain,2025,2026-06-12,26,25,1,14,11,1,68.2,78.5,76.3,100,188,100,82,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Sweden,2025,2026-06-12,26,26,0,7,12,7,51.8,69.1,64.8,100,97,100,73,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Switzerland,2025,2026-06-12,26,26,0,10,14,2,62.6,76.5,73.3,100,123,100,80,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Tunisia,2025,2026-06-12,26,26,0,3,19,4,52.1,65.1,62.2,100,79,92.2,70,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Türkiye,2025,2026-06-12,26,26,0,9,13,4,58.1,76,72.1,100,179,100,79,"26/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Uruguay,2025,2026-06-12,26,25,1,5,13,8,50.2,66.2,61.7,98.1,158,100,71,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
USA,2025,2026-06-12,26,25,1,10,7,9,55.8,77.5,73.2,100,149,100,79,"25/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
Uzbekistan,2025,2026-06-12,26,21,5,2,7,17,35.1,49.6,44.9,29,62,70.1,48,"21/26 players use Transfermarkt performance-game rows; score weights top 11 role, top 15 depth, minutes, goals plus assists and source coverage."
