team,snapshot_date,squad_status,final_26_available,announced_26_available,announcement_status,announcement_date,squad_value_m,avg_age,injury_risk,club_score,profile_status,source_note,value_source,replacement_key
Mexico,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,215,27.5,22,60,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Tunisia,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,65,26.2,22,65,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Belgium,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,530,27.1,22,82,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Egypt,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,150,28.7,22,58,official_final_player_level,26 player rows aggregated; 4 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
IR Iran,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,60,29.8,22,50,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
New Zealand,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,32,27.6,22,64,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Spain,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,1260,26.2,22,92,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Cabo Verde,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,58,29.2,22,61,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Saudi Arabia,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,36,28,22,57,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Uruguay,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,505,28.2,22,73,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
France,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,1370,26.6,22,85,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Senegal,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,255,26.6,22,80,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Iraq,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,24,26.7,22,55,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Norway,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,610,26.3,22,83,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Argentina,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,910,28.6,22,84,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Algeria,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,170,26.5,22,69,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Austria,2026-06-02,25人官方最终名单,true,true,FIFA最终名单,2026-06-02,310,28.2,22,80,official_final_player_level,25 player rows aggregated; 3 goalkeepers; source URLs 25/25; value rows 0/25; availability rows 0/25.,mixed_or_manual,squads_2026.csv -> aggregate by team
Jordan,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,18,28.1,22,51,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Portugal,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,1060,27.5,22,81,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Congo DR,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,120,28.5,22,70,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Uzbekistan,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,48,28,22,52,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Colombia,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,340,29.6,22,74,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
England,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,1640,26.6,22,93,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Croatia,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,320,27.9,22,81,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Ghana,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,180,26.4,22,76,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
Panama,2026-06-02,26人官方最终名单,true,true,FIFA最终名单,2026-06-02,24,30,22,53,official_final_player_level,26 player rows aggregated; 3 goalkeepers; source URLs 26/26; value rows 0/26; availability rows 0/26.,mixed_or_manual,squads_2026.csv -> aggregate by team
