team,snapshot_date,source,source_url,fifa_rank,fifa_points,points_precision,source_note
Mexico,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,15,1681,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Scotland,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,48,1474,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
USA,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,14,1682,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Paraguay,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,37,1501,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Australia,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,25,1558,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Türkiye,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,28,1537,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Germany,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,9,1716,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Curacao,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,82,1294,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Cote d'Ivoire,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,42,1486,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Ecuador,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,24,1577,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Netherlands,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,7,1759,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Japan,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,19,1633,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Sweden,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,40,1490,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Tunisia,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,41,1488,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Belgium,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,8,1736,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Egypt,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,32,1519,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
IR Iran,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,20,1620,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
New Zealand,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,83,1290,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Spain,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,2,1876,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Cabo Verde,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,67,1360,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Saudi Arabia,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,60,1390,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Uruguay,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,17,1640,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
France,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,1,1877,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Senegal,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,22,1591,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Iraq,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,58,1421,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Norway,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,29,1534,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Argentina,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,3,1875,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Algeria,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,38,1490,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Austria,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,27,1548,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Jordan,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,64,1373,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Portugal,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,5,1764,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Congo DR,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,56,1429,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Uzbekistan,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,50,1460,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Colombia,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,13,1692,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
England,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,4,1835,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Croatia,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,10,1714,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Ghana,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,72,1335,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
Panama,2026-04-01,FIFA/Coca-Cola Men's World Ranking,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13678,31,1521,rounded integer,Official FIFA ranking page shows last official update 2026-04-01; model stores rounded points.
