team,source_team,snapshot_date,source,source_url,american_odds
Japan,Japan,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,5000
Uruguay,Uruguay,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,5000
Croatia,Croatia,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,6600
Ecuador,Ecuador,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,6600
Mexico,Mexico,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,6600
Senegal,Senegal,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,6600
Sweden,Sweden,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,6600
Switzerland,Switzerland,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,6600
Türkiye,Turkey,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,6600
Austria,Austria,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,10000
Canada,Canada,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,15000
Paraguay,Paraguay,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,15000
Cote d'Ivoire,Ivory Coast,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,20000
Czechia,Czech Republic,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,20000
Algeria,Algeria,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,25000
Bosnia and Herzegovina,Bosnia & Herzegovina,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,25000
Egypt,Egypt,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,25000
Ghana,Ghana,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,25000
Korea Republic,Korea Republic,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,25000
Scotland,Scotland,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,25000
Australia,Australia,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,50000
IR Iran,Iran,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,50000
Tunisia,Tunisia,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,50000
Congo DR,DR Congo,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,75000
Cabo Verde,Cape Verde,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,100000
Iraq,Iraq,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,100000
Jordan,Jordan,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,100000
New Zealand,New Zealand,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,100000
Panama,Panama,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,100000
Qatar,Qatar,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,100000
Saudi Arabia,Saudi Arabia,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,100000
South Africa,South Africa,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,100000
Uzbekistan,Uzbekistan,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,100000
Curacao,Curacao,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,250000
Haiti,Haiti,2026-06-01,Yahoo Sports / BetMGM outright odds,https://sports.yahoo.com/soccer/betting/article/2026-world-cup-odds-for-all-48-teams-to-win-the-title-200221552.html,250000
