team,source_team,snapshot_date,source,source_url,implied_probability,best_bid,best_ask,volume_usd
Cabo Verde,Cape Verde,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,40327003
Curacao,Curaçao,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,42046912
Czechia,Czechia,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,42168206
Haiti,Haiti,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,32150395
Iraq,Iraq,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,29206706
Jordan,Jordan,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,31758404
New Zealand,New Zealand,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,45561905
Panama,Panama,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,19561910
Qatar,Qatar,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,42147570
Saudi Arabia,Saudi Arabia,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,49054882
South Africa,South Africa,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,38644894
Tunisia,Tunisia,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,35697112
Uzbekistan,Uzbekistan,2026-06-12,Polymarket World Cup Winner market,https://polymarket.com/event/world-cup-winner,0.0005,,0.001,59964272
